업종명,업소명,소재지(도로명),소재지(지번)
휴게음식점,스터,"경상북도 구미시 진평2길 33-12, 1층 (진평동)",경상북도 구미시 진평동 558 1층 
휴게음식점,카페유,"경상북도 구미시 인동28길 49-9, 1층 (진평동)",경상북도 구미시 진평동 1052-5 1층 
휴게음식점,카페카리타스풍빈원점,"경상북도 구미시 금오산로 336-13, 구미성리학역사관 6동 1층 (남통동)",경상북도 구미시 남통동 산 28-7 구미성리학역사관 1층 6동 
휴게음식점,하삼동커피상모점,"경상북도 구미시 상사서로 35, 1층 (상모동)",경상북도 구미시 상모동 37-8 1층 
휴게음식점,이디야커피구미비산점,"경상북도 구미시 비산로3길 33-21, 1층 (비산동)",경상북도 구미시 비산동 444-2 1층 
휴게음식점,세라젬웰카페구미옥계점,"경상북도 구미시 옥계북로 8, 1동 1층 103,104호 (옥계동)","경상북도 구미시 옥계동 831-2 1층 103,104호 1동 "
휴게음식점,이디야차병원점,"경상북도 구미시 신시로10길 12, 차병원 1층 (형곡동)",경상북도 구미시 형곡동 855 차병원 1층 
휴게음식점,배달의카페옥계점,"경상북도 구미시 옥계신당로5길 21, 1층 (옥계동)",경상북도 구미시 옥계동 1159 1층 
휴게음식점,더벤티구미남통점,"경상북도 구미시 원남로 44, 1층 (원평동)",경상북도 구미시 원평동 78-1 1층 
휴게음식점,다이어트,"경상북도 구미시 인동36길 9, 금강빌딩 4층 (구평동)",경상북도 구미시 구평동 446-3 금강빌딩 
휴게음식점,읍천리382금오산점,"경상북도 구미시 금오산로22길 5, 1층 (원평동)",경상북도 구미시 원평동 409-4 1층 
휴게음식점,놀숲구미옥계점,"경상북도 구미시 옥계2공단로 355, 5층 501호 (옥계동)",경상북도 구미시 옥계동 638-2 5층 501호
휴게음식점,차원,"경상북도 구미시 형곡동로 57, 1층 (형곡동)",경상북도 구미시 형곡동 278-4 1층 
휴게음식점,써니카페,"경상북도 구미시 원남로 88, 1층 (원평동)",경상북도 구미시 원평동 398-3 1층 
휴게음식점,트윙클핫도그,"경상북도 구미시 인동5길 27, 1층 (인의동)",경상북도 구미시 인의동 565-14 1층 
휴게음식점,달크나,"경상북도 구미시 산동읍 신당1로2길 10, 아이프라자2차 1동 3층 202호",경상북도 구미시 산동읍 신당리 1457 아이프라자2차 3층 1동 202호
휴게음식점,투썸플레이스구미원평문화거리점,"경상북도 구미시 문화로 49, 1,2층 (원평동)","경상북도 구미시 원평동 343-1 1,2층 "
휴게음식점,일공일삼,"경상북도 구미시 문장로 139-2, 1층 (도량동)",경상북도 구미시 도량동 687-19 1층 
휴게음식점,밀밀팩토리,"경상북도 구미시 산업로 191-13, 1,2층 (원평동)","경상북도 구미시 원평동 615-3 1,2층 "
휴게음식점,공차구미구평점,"경상북도 구미시 인동36길 7, 1층 (구평동)",경상북도 구미시 구평동 446-2 1층 
휴게음식점,천씨씨옥계점,"경상북도 구미시 옥계북로 59, 상가동 1층 108호 (옥계동)",경상북도 구미시 옥계동 909 1층 상가동 108호
휴게음식점,레츠빈커피로스터리,"경상북도 구미시 형곡동로8길 12, 1층 (형곡동)",경상북도 구미시 형곡동 191 1층 
휴게음식점,텐퍼센트커피옥계점,"경상북도 구미시 옥계북로 50, 1층 (옥계동)",경상북도 구미시 옥계동 732-3 1층 
