dong_code,year_month,home_pop,work_pop,living_pop,inflow_pop,total_demand_pop
47190320,202306,1103.4445555555556,72.06694444444445,1175.5115,9.094212256,1000.548907
47190320,202307,1105.9920833333333,78.93075268817203,1184.9228360215054,9.619391259733204,1008.627319
47190320,202308,1064.2958333333333,71.92059139784946,1136.2164247311828,9.913052095130238,967.2709188
47190320,202309,1049.7060694444444,70.09988888888888,1119.8059583333334,11.584580710076184,953.5727517
47190320,202310,1051.109690860215,66.24005376344086,1117.3497446236559,10.671290665899612,951.3479765
47190320,202311,1048.9723194444446,75.73934722222222,1124.7116666666668,9.380334107165266,957.4119668
47190320,202312,1049.906801075269,63.574543010752684,1113.4813440860216,9.268543220422513,947.849424
47190320,202401,1068.9165456989247,67.67778225806451,1136.5943279569892,9.030795094804892,967.459798
47190320,202402,1048.1824425287357,70.24277298850575,1118.4252155172414,11.400293540773244,952.3714772
47190320,202403,1038.614247311828,56.93948924731183,1095.553737,9.052471074380165,932.5785471
47190320,202404,1053.802375,66.954,1120.756375,9.095333951189373,954.0072188
47190320,202405,1061.540752688172,72.24978494623656,1133.7905376344086,9.124673997452863,965.0906581
47190320,202406,1071.498722222222,71.96290277777778,1143.461625,8.341492940130994,973.1936052
47190320,202407,1100.3901075268818,72.59629032258064,1172.9863978494625,8.289114189189188,998.2818053
47190320,202408,1105.924879032258,75.72129032258064,1181.6461693548388,8.956334194,1005.742694
47190320,202409,1077.8675,69.11686111,1146.9843611111112,10.384134266783349,976.4943271
47190320,202410,1057.1270161290322,60.037284946236554,1117.1643010752687,9.776668835586053,951.0561562
47190320,202411,1032.098875,63.748986111111115,1095.8478611111111,9.449365724930146,932.8880868
47190320,202412,1028.196747311828,56.26880376344086,1084.4655510752689,8.845473353194306,923.1225394
47190330,202301,1254.5152822580644,71.60831989247312,1326.1236021505376,6.488913731978256,1128.178399
47190330,202302,1410.3842985074627,82.62505970149253,1493.0093582089553,6.112353207775204,1269.974807
47190330,202303,1361.7939247311829,96.82225806451612,1458.616182795699,6.2819499221587956,1240.766048
47190330,202304,1365.642277777778,85.87493055555555,1451.5172083333334,6.584126043405676,1234.777246
47190330,202305,1427.0352355316284,89.92189771197847,1516.957133243607,6.711076455080105,1290.420225
47190330,202306,1441.357763888889,89.56602777777778,1530.9237916666666,6.305121494549389,1302.230991
47190330,202307,1451.233924731183,84.09173387096774,1535.3256586021507,6.210080439223697,1305.958322
47190330,202308,1424.4337231182794,83.46612903225807,1507.8998521505375,6.177368557033975,1282.64148
47190330,202309,1371.4094722222223,74.56186111111111,1445.9713333333334,7.085793150519934,1230.138502
47190330,202310,1295.5101612903225,69.53139784946237,1365.0415591397848,6.724303443088751,1161.293971
47190330,202311,1311.5775,75.5005,1387.0780000000002,6.374243479068041,1179.972437
47190330,202312,1303.6850268817204,64.21270161290323,1367.8977284946236,6.065781845164482,1163.622936
47190330,202401,1311.376948924731,97.81875,1409.195698924731,5.908081491505037,1198.702556
47190330,202402,1344.8069252873563,93.30620689655173,1438.113132183908,6.817997029601557,1223.418862
47190330,202403,1286.2252419354838,87.82581989,1374.051061827957,6.400780952380952,1168.90352
47190330,202404,1300.5309444444445,98.89959722222223,1399.4305416666666,6.627022689787367,1190.510014
47190330,202405,1346.6787903225807,94.98708333333333,1441.665873655914,6.809317424180827,1226.43739
47190330,202406,1362.9484166666666,87.01472222222222,1449.9631388888888,6.323713314541536,1233.417225
47190330,202407,1384.5157123655915,107.46868279569892,1491.9843951612904,6.210052661857769,1269.118244
47190330,202408,1350.315752688172,94.20934139784946,1444.5250940860215,6.547772574963484,1228.828496
47190330,202409,1349.2180694444444,93.57406944444445,1442.7921388888888,7.1331420480573025,1227.443289
47190330,202410,1326.8706989247312,77.57572580645162,1404.4464247311828,6.846553035103283,1194.806444
47190330,202411,1274.3895277777776,82.92952777777778,1357.3190555555555,6.714510628875111,1154.728374
47190330,202412,1242.2517069892474,62.07978494623656,1304.3314919354839,6.323729864297569,1109.630328
47190340,202301,2520.368239247312,118.38774193548386,2638.755981182796,8.980843174,2244.28971
47190340,202302,2522.645089552239,119.03049253731345,2641.6755820895523,8.929336788,2246.763645
47190340,202303,2420.227110215054,126.62477150537634,2546.8518817204304,9.724658736349454,2166.282798
47190340,202304,2475.7186666666666,131.62308333333334,2607.34175,9.561310527583714,2217.674684
47190340,202305,2490.610605652759,125.65666218034993,2616.267267833109,9.492212439115773,2225.25101
47190340,202306,2502.504736111111,124.02622222222223,2626.5309583333333,9.073637969727356,2233.91236
47190340,202307,2521.8966532258064,116.55532258064517,2638.4519758064516,8.728018316831683,2243.993382
47190340,202308,2498.705483870968,123.06133064516129,2621.766814516129,8.551035917,2229.784448
47190340,202309,2472.755527777778,128.822125,2601.577652777778,9.673772706101536,2212.792071
47190340,202310,2434.146129032258,114.21233870967741,2548.358467741936,9.812834907,2167.576623
47190340,202311,2420.606652777778,130.0055,2550.612152777778,9.475836607,2169.441705
47190340,202312,2402.5364784946237,102.58034946236559,2505.1168279569893,9.214760582564963,2130.731518
47190340,202401,2426.1393817204303,137.7210618,2563.860443548387,9.190954742715437,2180.66002
47190340,202402,2493.2353448275862,123.65584770114943,2616.8911925287357,9.583554868,2225.795047
