store_name,addr,legal_dong,dong,category,lon,lat,store_x,store_y,cell_id,xcdn,ycdn,grid_dong,grid_distance
퍼블릭커피로스터즈,경상북도 구미시 산동읍 봉산리 385 1층 1동 ,산동읍,산동읍,커피전문점,128.441991495887,36.1404984209599,1084749.7784055981,1794127.845159825,라마84b94a,1084500,1794000,산동읍,280.59514748799336
이디야커피인동중앙점,경상북도 구미시 인의동 488 1층 1동 ,인의동,인동동,커피전문점,128.425273117863,36.1067786261499,1083281.2182170784,1790373.1429068632,라마83b90b,1083500,1790500,인동동,252.8995662658955
커피마루,경상북도 구미시 진평동 5-6 1층 ,진평동,진미동,커피전문점,128.424650991241,36.0997052891578,1083232.6823403677,1789588.0286262752,라마83a89b,1083000,1789500,인동동,248.77723079674374
시골카페,경상북도 구미시 선산읍 이문리 113 1층 ,선산읍,선산읍,커피전문점,128.297413378291,36.2402091675092,1071651.091558199,1805071.4466055154,라바71b05a,1071500,1805000,선산읍,167.13251149507877
커피핫이또,경상북도 구미시 구평동 449-8 구평동종합프라자 1층 B동 102호,구평동,인동동,커피전문점,128.433786578458,36.0927442730361,1084062.4610948649,1788823.7648998906,라마84a89a,1084000,1789000,인동동,186.97646611880424
카페도란도란,경상북도 구미시 송정동 483-5 1층 ,송정동,송정동,커피전문점,128.347623660407,36.114940691907,1076284.1516309741,1791214.7558087038,라마76b91a,1076500,1791000,송정동,304.4841141720876
이디야커피구미구평점,경상북도 구미시 구평동 434-9 강동빌딩 1층 B동 ,구평동,인동동,커피전문점,128.436406566877,36.0938446226447,1084297.1521160346,1788948.0845870962,라마84b89a,1084500,1789000,인동동,209.38594538839067
감성커피동락공원점,경상북도 구미시 임수동 92-24 1층 A동 ,임수동,진미동,커피전문점,128.405553261766,36.1078867192141,1081505.0987832164,1790479.3405607655,라마81b90b,1081500,1790500,진미동,21.2793331609199
올데이커피,"경상북도 구미시 원평동 411-18 1,2층 ",원평동,원평동,커피전문점,128.330376879331,36.1266743048296,1074720.8278036017,1792502.8555112921,라마74b92b,1074500,1792500,원평동,220.84626505401823
나눔카페,경상북도 구미시 임수동 401-3 2층 ,임수동,진미동,커피전문점,128.402170113407,36.1119038828808,1081196.4526267154,1790922.0968045383,라마81a91a,1081000,1791000,진미동,211.33514238416063
제이커피,경상북도 구미시 선기동 458-1 구미칠곡축산농협종합유통센터 2층 1동 ,선기동,선주원남동,커피전문점,128.310437622013,36.1395719238537,1072914.638677792,1793918.3177147354,라마73a94a,1073000,1794000,도량동,118.14631206753037
디저트39형곡송정점,경상북도 구미시 송정동 27-8 1층 ,송정동,송정동,제과점/아이스크림,128.340213015096,36.1170862759847,1075615.1388288294,1791446.9543668944,라마75b91b,1075500,1791500,송정동,126.77061605819732
잇츠토스트,경상북도 구미시 신평동 175-9 1층 ,신평동,신평1동,패스트푸드,128.364425347766,36.1208401021132,1077790.4795229477,1791882.4394388846,라마78a92a,1078000,1792000,신평2동,240.2484460594769
메가엠지씨커피구미옥계점,경상북도 구미시 옥계동 639-3 1층 ,옥계동,양포동,커피전문점,128.416537359801,36.1371864574883,1082463.1072902542,1793738.5693059564,라마82b93b,1082500,1793500,양포동,241.40502434060556
선산산업(주)선산휴게소하지점드롭탑,경상북도 구미시 옥성면 대원리 86-6 선산휴게소(하행선)1층 ,옥성면,옥성면,커피전문점,128.249457121918,36.2760985893565,1067311.1356106966,1809017.9931537944,라바67a09a,1067000,1809000,옥성면,311.65545370975485
메가엠지씨커피구미도량점,경상북도 구미시 도량동 229-3 GMG프라자 1층 105호,도량동,도량동,커피전문점,128.317458667888,36.1388657116028,1073546.990680115,1793845.2769214562,라마73b94a,1073500,1794000,도량동,161.7014380014689
정커피,경상북도 구미시 비산동 76-4 1층 ,비산동,비산동,커피전문점,128.379768971897,36.12293825554,1079169.1935485387,1792127.5590424354,라마79a92a,1079000,1792000,비산동,211.89092990063074
봄봄선산점,경상북도 구미시 선산읍 완전리 213-5 1층 ,선산읍,선산읍,커피전문점,128.30126090347,36.2415706998946,1071995.5667417282,1805225.322557438,라바72a05a,1072000,1805000,선산읍,225.36616575980187
구미지역자활센터카페카리타스5호점,경상북도 구미시 구평동 241-3 강동문화복지회관 1층 ,구평동,인동동,커피전문점,128.453851746034,36.0902103540249,1085871.5994017893,1788560.2306456037,라마86a88b,1086000,1788500,인동동,141.8254007246957
이디야구미금오산점,경상북도 구미시 남통동 99-1 1층 ,남통동,선주원남동,커피전문점,128.32675993287,36.1240662450853,1074397.8138426174,1792210.7930531476,라마74b92a,1074500,1792000,원평동,234.25567659270658
카페콩,경상북도 구미시 산동읍 신당리 0 1층 ,산동읍,산동읍,커피전문점,128.430510157506,36.1535653865158,1083702.9029031766,1795567.3009357308,라마83b95b,1083500,1795500,산동읍,213.77325386432017
커피콩시청점,경상북도 구미시 송정동 35-6 1층 ,송정동,송정동,커피전문점,128.342478116882,36.1194182923995,1075816.749506945,1791707.3873629025,라마76a91b,1076000,1791500,송정동,276.7494561811331
커피팀버구미역점,"경상북도 구미시 원평동 188-34 1,2,3층 ",원평동,원평동,커피전문점,128.333164690584,36.1318083657831,1074966.8094131749,1793074.4760152341,라마75a93a,1075000,1793000,원평동,81.53705843940912
초원커피,경상북도 구미시 원평동 964-105 1층 ,원평동,원평동,커피전문점,128.338872292267,36.1286196355342,1075483.4349888847,1792725.1987834994,라마75b92b,1075500,1792500,원평동,225.80720024584838
메가커피금오공대점,경상북도 구미시 거의동 467-3 1층 4동 ,거의동,양포동,커피전문점,128.3962270826,36.1408151275049,1080631.982384244,1794124.016975812,라마80b94a,1080500,1794000,양포동,181.10648812303444
커피인장명달원평점,경상북도 구미시 원평동 397-4 3층 ,원평동,원평동,커피전문점,128.330003557547,36.1268264182557,1074687.089891822,1792519.441015835,라마74b92b,1074500,1792500,원평동,188.0972639851261
카페쑤,경상북도 구미시 진평동 536 1층 ,진평동,진미동,커피전문점,128.420349947681,36.1023538753778,1082842.7317898367,1789878.139042483,라마83a90a,1083000,1790000,인동동,198.95573099298787
더벤티옥계부영점,경상북도 구미시 옥계동 618-13 1층 ,옥계동,양포동,커피전문점,128.41670699392,36.1406276617655,1082474.768151756,1794120.4170421432,라마82b94a,1082500,1794000,양포동,123.03215110012705
더벤티구미확장단지점,경상북도 구미시 산동읍 신당리 0 골드타워 1층 1동 103호,산동읍,산동읍,커피전문점,128.430510157506,36.1535653865158,1083702.9029031766,1795567.3009357308,라마83b95b,1083500,1795500,산동읍,213.77325386432017
메가커피구미확장단지점,경상북도 구미시 산동읍 신당리 0 1층 110호,산동읍,산동읍,커피전문점,128.430510157506,36.1535653865158,1083702.9029031766,1795567.3009357308,라마83b95b,1083500,1795500,산동읍,213.77325386432017
투썸플레이스구미지세븐스퀘어점,경상북도 구미시 봉곡동 36 ,봉곡동,선주원남동,커피전문점,128.31518104847,36.1382303917462,1073342.6596792545,1793773.084889623,라마73b94a,1073500,1794000,도량동,276.1275861801036
카페다비다,경상북도 구미시 신평동 168-23 1층 ,신평동,신평1동,커피전문점,128.363605388521,36.1206769622847,1077716.8496660849,1791863.6878399258,라마77b92a,1077500,1792000,신평1동,256.1343059123915
커피374,경상북도 구미시 임은동 374 세이브 마트 1층 ,임은동,임오동,커피전문점,128.368144053235,36.0890484010434,1078156.6249265529,1788359.0713771668,라마78a88b,1078000,1788500,공단동,210.69467091353198
블랙라인커피옥계점,경상북도 구미시 옥계동 841-1 코스모빌딩 1층 103호,옥계동,양포동,커피전문점,128.420218497268,36.1372482889007,1082794.2519971721,1793748.5587612183,라마83a93b,1083000,1793500,양포동,322.6665437352412
카페드롭탑구미점,경상북도 구미시 남통동 100-12 1층 ,남통동,선주원남동,커피전문점,128.325774083057,36.1240888764761,1074309.0767535768,1792212.549046328,라마74b92a,1074500,1792000,원평동,285.70751323645567
배달의카페,경상북도 구미시 상모동 70 화성파크프레지던트2단지 102호,상모동,상모사곡동,커피전문점,128.357717335025,36.086656603168,1077220.2538282645,1788085.4444999495,라마77a88a,1077000,1788000,상모사곡동,236.24671730375135
투썸플레이스구미신평점,"경상북도 구미시 신평동 150-61 1층 109,110,111호 ",신평동,신평1동,커피전문점,128.362322546477,36.1231970815296,1077598.922251151,1792142.1962554546,라마77b92a,1077500,1792000,신평1동,173.2206305209313
투썸플레이스구미옥계점,경상북도 구미시 옥계동 835-4 1층 ,옥계동,양포동,커피전문점,128.421234677877,36.1377669973129,1082885.1370086954,1793806.961245522,라마83a94a,1083000,1794000,산동읍,224.62739704207095
디포인트커피,경상북도 구미시 원평동 435-30 1층 ,원평동,원평동,커피전문점,128.332322088942,36.1259782688143,1074896.5310518094,1792427.1483214418,라마75a92b,1075000,1792500,원평동,126.54323493732676
할리스구미금오산DI점,"경상북도 구미시 남통동 135-1 1,2층 ",남통동,선주원남동,커피전문점,128.323708951409,36.121983222276,1074125.2170548441,1791977.4118334313,라마74a92a,1074000,1792000,원평동,127.23810786385027
미카커피,경상북도 구미시 옥계동 543 에덴아파트 1층 209동 109호,옥계동,양포동,커피전문점,128.413863521767,36.1478229819328,1082211.4295160805,1794916.1231570318,라마82a95a,1082000,1795000,양포동,227.45937012212792
텀브커피구미대학교점,경상북도 구미시 부곡동 511 1층 ,부곡동,선주원남동,커피전문점,128.291174598324,36.1515852215774,1071170.6666178007,1795236.5527480901,라마71a95a,1071000,1795000,선주원남동,291.6921271829663
봄봄봉곡점,경상북도 구미시 봉곡동 378-4 명성빌딩 1층 ,봉곡동,선주원남동,커피전문점,128.310714731418,36.1483615815102,1072931.4333562006,1794893.4806949357,라마73a95a,1073000,1795000,선주원남동,126.67970237298242
커피에반하다옥계점,경상북도 구미시 옥계동 545 동화타운 상가1동 112호,옥계동,양포동,커피전문점,128.414418590959,36.1468628534668,1082262.3676716273,1794810.0940847828,라마82a95a,1082000,1795000,양포동,323.8843184682433
카세트커피,경상북도 구미시 공단동 201 1층 ,공단동,공단동,커피전문점,128.378423985875,36.1099381852912,1079061.1890250065,1790684.486099088,라마79a90b,1079000,1790500,공단동,194.36876687880866
안녕마카롱,경상북도 구미시 봉곡동 15-9 1층 ,봉곡동,선주원남동,제과점/아이스크림,128.312705866894,36.1404312797723,1073117.9182074808,1794015.3429233504,라마73a94a,1073000,1794000,도량동,118.91219009177489
선산산업(주)선산휴게소상지점드롭탑,경상북도 구미시 옥성면 대원리 1-1 선산휴게소 1층 25동 ,옥성면,옥성면,커피전문점,128.249822855249,36.2776293867567,1067342.668959419,1809188.0475308262,라바67a09a,1067000,1809000,옥성면,390.8757981752399
커피팀버문성점,"경상북도 구미시 고아읍 문성리 632-3 1,2층 1동 ",고아읍,고아읍,커피전문점,128.340802074489,36.1596306582686,1075627.3096259222,1796166.4719502223,라마75b96a,1075500,1796000,고아읍,209.5725436770441
메가엠지씨커피구미역점,경상북도 구미시 원평동 96-3 1층 ,원평동,원평동,커피전문점,128.33193186233,36.1288502158199,1074858.68846022,1792745.4056455705,라마75a92b,1075000,1792500,원평동,283.18347789532794
카페루앤비구미옥계점,경상북도 구미시 옥계동 906 구미옥계우미린 1층 상가동 107호,옥계동,양포동,커피전문점,128.427318292526,36.1418373011204,1083428.1955310956,1794263.6538915099,라마83b94b,1083500,1794500,산동읍,247.01288377951522
더벤티구미인동점,경상북도 구미시 황상동 313-5 1층 ,황상동,인동동,커피전문점,128.419105393144,36.1074163198043,1082725.395304617,1790438.610544024,라마82b90b,1082500,1790500,인동동,233.60588316311294
디저트39문성점,경상북도 구미시 고아읍 원호리 77-2 1층 ,고아읍,고아읍,제과점/아이스크림,128.339666599467,36.1583503314807,1075526.403307643,1796023.5727313089,라마75b96a,1075500,1796000,고아읍,35.39503236122627
