category,dong,cell_id,xcdn,ycdn,store_count
커피전문점,상모사곡동,라마76b88a,1076500,1788000,1
커피전문점,상모사곡동,라마76b88b,1076500,1788500,2
커피전문점,상모사곡동,라마77a87b,1077000,1787500,1
커피전문점,상모사곡동,라마77a88a,1077000,1788000,10
커피전문점,상모사곡동,라마77a88b,1077000,1788500,8
커피전문점,상모사곡동,라마77a89b,1077000,1789500,2
커피전문점,상모사곡동,라마77b89a,1077500,1789000,1
커피전문점,선산읍,라바71b05a,1071500,1805000,1
커피전문점,선산읍,라바72a05a,1072000,1805000,7
커피전문점,선산읍,라바72a05b,1072000,1805500,8
커피전문점,선산읍,라바72a06a,1072000,1806000,1
커피전문점,선산읍,라바72b05b,1072500,1805500,1
커피전문점,선주원남동,라마71a95a,1071000,1795000,1
커피전문점,선주원남동,라마71b95a,1071500,1795000,1
커피전문점,선주원남동,라마72b90b,1072500,1790500,1
커피전문점,선주원남동,라마72b95a,1072500,1795000,1
커피전문점,선주원남동,라마72b95b,1072500,1795500,5
커피전문점,선주원남동,라마73a91a,1073000,1791000,1
커피전문점,선주원남동,라마73a94b,1073000,1794500,3
커피전문점,선주원남동,라마73a95a,1073000,1795000,15
커피전문점,선주원남동,라마73a95b,1073000,1795500,6
커피전문점,송정동,라마75b91a,1075500,1791000,10
커피전문점,송정동,라마75b91b,1075500,1791500,4
커피전문점,송정동,라마76a91b,1076000,1791500,10
커피전문점,송정동,라마76b91a,1076500,1791000,3
커피전문점,송정동,라마76b91b,1076500,1791500,4
커피전문점,신평1동,라마77b90b,1077500,1790500,1
커피전문점,신평1동,라마77b92a,1077500,1792000,7
커피전문점,신평2동,라마77b92b,1077500,1792500,1
커피전문점,신평2동,라마78a92a,1078000,1792000,3
커피전문점,양포동,라마80b94a,1080500,1794000,1
커피전문점,양포동,라마82a95a,1082000,1795000,3
커피전문점,양포동,라마82b93b,1082500,1793500,4
커피전문점,양포동,라마82b94a,1082500,1794000,8
커피전문점,양포동,라마82b94b,1082500,1794500,3
커피전문점,양포동,라마83a93b,1083000,1793500,5
커피전문점,양포동,라마83a94b,1083000,1794500,2
커피전문점,양포동,라마83b94a,1083500,1794000,1
커피전문점,양포동,라마86a93a,1086000,1793000,1
커피전문점,옥성면,라바67a09a,1067000,1809000,2
커피전문점,원평동,라마74a92a,1074000,1792000,5
커피전문점,원평동,라마74a93a,1074000,1793000,2
커피전문점,원평동,라마74b92a,1074500,1792000,2
커피전문점,원평동,라마74b92b,1074500,1792500,8
커피전문점,원평동,라마74b93a,1074500,1793000,5
커피전문점,원평동,라마75a92b,1075000,1792500,18
커피전문점,원평동,라마75a93a,1075000,1793000,9
커피전문점,원평동,라마75b92a,1075500,1792000,4
커피전문점,원평동,라마75b92b,1075500,1792500,7
커피전문점,원평동,라마76a92a,1076000,1792000,5
커피전문점,원평동,라마76b92a,1076500,1792000,2
커피전문점,인동동,라마82b90b,1082500,1790500,6
커피전문점,인동동,라마83a89a,1083000,1789000,3
커피전문점,인동동,라마83a89b,1083000,1789500,1
커피전문점,인동동,라마83a90a,1083000,1790000,7
커피전문점,인동동,라마83a90b,1083000,1790500,9
커피전문점,인동동,라마83a91a,1083000,1791000,4
커피전문점,인동동,라마83b88b,1083500,1788500,1
커피전문점,인동동,라마83b89a,1083500,1789000,6
커피전문점,인동동,라마83b89b,1083500,1789500,12
커피전문점,인동동,라마83b90b,1083500,1790500,3
커피전문점,인동동,라마83b91b,1083500,1791500,1
커피전문점,인동동,라마84a88b,1084000,1788500,1
커피전문점,인동동,라마84a89a,1084000,1789000,19
커피전문점,인동동,라마84a91a,1084000,1791000,1
커피전문점,인동동,라마84b88b,1084500,1788500,2
커피전문점,인동동,라마84b89a,1084500,1789000,2
커피전문점,인동동,라마85a88b,1085000,1788500,1
커피전문점,인동동,라마85b89a,1085500,1789000,1
커피전문점,인동동,라마86a88b,1086000,1788500,1
커피전문점,임오동,라마76b86b,1076500,1786500,3
커피전문점,임오동,라마77a86b,1077000,1786500,1
커피전문점,임오동,라마77a87a,1077000,1787000,1
커피전문점,임오동,라마77b88a,1077500,1788000,3
커피전문점,임오동,라마78a88a,1078000,1788000,2
커피전문점,장천면,라마89b92b,1089500,1792500,4
커피전문점,지산동,라마75b93a,1075500,1793000,1
커피전문점,지산동,라마76a92b,1076000,1792500,3
커피전문점,지산동,라마76b92b,1076500,1792500,1
커피전문점,진미동,라마81a90b,1081000,1790500,2
커피전문점,진미동,라마81a91a,1081000,1791000,1
커피전문점,진미동,라마81b90b,1081500,1790500,2
커피전문점,해평면,라바80a00a,1080000,1800000,3
커피전문점,형곡1동,라마75a90b,1075000,1790500,8
커피전문점,형곡1동,라마75a91a,1075000,1791000,3
커피전문점,형곡1동,라마75b90b,1075500,1790500,2
커피전문점,형곡2동,라마74b90a,1074500,1790000,1
커피전문점,형곡2동,라마75a90a,1075000,1790000,1
커피전문점,형곡2동,라마76a90b,1076000,1790500,1
패스트푸드,b' ',라마76b96b,1076500,1796500,3
패스트푸드,고아읍,라마74b94b,1074500,1794500,3
패스트푸드,고아읍,라마74b95a,1074500,1795000,3
패스트푸드,고아읍,라마74b95b,1074500,1795500,3
패스트푸드,고아읍,라마75a95a,1075000,1795000,5
패스트푸드,고아읍,라마75a96a,1075000,1796000,1
패스트푸드,고아읍,라마75b96a,1075500,1796000,2
패스트푸드,고아읍,라마76a94b,1076000,1794500,1
패스트푸드,고아읍,라마76a96a,1076000,1796000,1
패스트푸드,고아읍,라마76a96b,1076000,1796500,3
패스트푸드,고아읍,라마76a97a,1076000,1797000,1
패스트푸드,고아읍,라마76a99b,1076000,1799500,1
패스트푸드,고아읍,라마76b96a,1076500,1796000,1
패스트푸드,고아읍,라마78a97a,1078000,1797000,1
패스트푸드,고아읍,라바73a03b,1073000,1803500,2
패스트푸드,고아읍,라바74b01b,1074500,1801500,1
패스트푸드,공단동,라마79a90b,1079000,1790500,1
패스트푸드,공단동,라마79b89b,1079500,1789500,1
패스트푸드,공단동,라마79b90a,1079500,1790000,1
패스트푸드,광평동,라마77a91a,1077000,1791000,1
패스트푸드,광평동,라마77b89b,1077500,1789500,4
패스트푸드,도개면,라바74b11b,1074500,1811500,2
패스트푸드,도량동,라마73a94a,1073000,1794000,2
패스트푸드,도량동,라마73b94a,1073500,1794000,6
패스트푸드,도량동,라마73b95a,1073500,1795000,5
패스트푸드,도량동,라마74a94a,1074000,1794000,9
패스트푸드,도량동,라마74a94b,1074000,1794500,1
패스트푸드,도량동,라마74b93b,1074500,1793500,2
패스트푸드,도량동,라마75a94a,1075000,1794000,1
패스트푸드,비산동,라마78a91b,1078000,1791500,1
패스트푸드,비산동,라마78b92a,1078500,1792000,6
패스트푸드,비산동,라마79a92a,1079000,1792000,4
패스트푸드,비산동,라마79b92a,1079500,1792000,1
패스트푸드,산동읍,라마83a94a,1083000,1794000,5
패스트푸드,산동읍,라마83b95b,1083500,1795500,1
패스트푸드,산동읍,라마83b96a,1083500,1796000,5
패스트푸드,산동읍,라마84a94a,1084000,1794000,1
패스트푸드,산동읍,라마84a95b,1084000,1795500,3
패스트푸드,산동읍,라마84a96a,1084000,1796000,4
패스트푸드,산동읍,라마84a97a,1084000,1797000,2
패스트푸드,산동읍,라마84b94a,1084500,1794000,3
패스트푸드,산동읍,라마84b96b,1084500,1796500,1
패스트푸드,산동읍,라마85a94a,1085000,1794000,1
패스트푸드,산동읍,라마85a97a,1085000,1797000,1
패스트푸드,상모사곡동,라마76b88a,1076500,1788000,1
패스트푸드,상모사곡동,라마77a88a,1077000,1788000,9
패스트푸드,상모사곡동,라마77a88b,1077000,1788500,14
패스트푸드,상모사곡동,라마77a89a,1077000,1789000,6
패스트푸드,상모사곡동,라마77a89b,1077000,1789500,1
패스트푸드,상모사곡동,라마77b89a,1077500,1789000,12
패스트푸드,선산읍,라바71b05a,1071500,1805000,4
패스트푸드,선산읍,라바71b05b,1071500,1805500,3
패스트푸드,선산읍,라바72a05a,1072000,1805000,3
패스트푸드,선산읍,라바72a05b,1072000,1805500,4
패스트푸드,선산읍,라바72a06a,1072000,1806000,4
패스트푸드,선주원남동,라마72b95b,1072500,1795500,3
패스트푸드,선주원남동,라마72b96a,1072500,1796000,1
패스트푸드,선주원남동,라마73a94b,1073000,1794500,1
패스트푸드,선주원남동,라마73a95a,1073000,1795000,9
패스트푸드,선주원남동,라마73a95b,1073000,1795500,10
패스트푸드,송정동,라마75a91b,1075000,1791500,1
패스트푸드,송정동,라마75b91a,1075500,1791000,5
패스트푸드,송정동,라마75b91b,1075500,1791500,7
패스트푸드,송정동,라마76a91b,1076000,1791500,4
패스트푸드,송정동,라마76b91a,1076500,1791000,8
패스트푸드,송정동,라마76b91b,1076500,1791500,7
패스트푸드,신평1동,라마77b92a,1077500,1792000,5
패스트푸드,신평2동,라마78a92a,1078000,1792000,7
패스트푸드,양포동,라마82a94a,1082000,1794000,1
패스트푸드,양포동,라마82b93a,1082500,1793000,4
패스트푸드,양포동,라마82b93b,1082500,1793500,3
패스트푸드,양포동,라마82b94a,1082500,1794000,19
패스트푸드,양포동,라마82b94b,1082500,1794500,7
패스트푸드,양포동,라마83a93b,1083000,1793500,9
패스트푸드,양포동,라마83a94b,1083000,1794500,4
패스트푸드,양포동,라마83b93b,1083500,1793500,1
패스트푸드,양포동,라마83b94a,1083500,1794000,5
패스트푸드,원평동,라마74a92a,1074000,1792000,1
패스트푸드,원평동,라마74a93a,1074000,1793000,1
패스트푸드,원평동,라마74b92b,1074500,1792500,6
패스트푸드,원평동,라마74b93a,1074500,1793000,3
패스트푸드,원평동,라마75a92b,1075000,1792500,2
패스트푸드,원평동,라마75a93a,1075000,1793000,2
패스트푸드,원평동,라마75b92a,1075500,1792000,2
패스트푸드,원평동,라마75b92b,1075500,1792500,2
패스트푸드,원평동,라마76a92a,1076000,1792000,3
패스트푸드,원평동,라마76b92a,1076500,1792000,1
