dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190535,원평동,제과점/아이스크림,1616004000,134667000.0,151461,135151,12799.36252585728,1784.7026144507272,25.472138078355417,10883.2789675,0.6407121530054979,6.0,0,카페,6.0,269334000.0,1813.8798279166667,0.014053598668032715,0.3064806461942415,0,0.2231275066417417,0.00564476398285954,0.1214,낮음,특징 약함
47190535,원평동,커피전문점,4855534000,404627833.3333333,651014,558933,12799.36252585728,1784.7026144507272,25.472138078355417,10883.2789675,0.6722437590698958,59.0,0,카페,59.0,82297186.44067797,184.46235538135593,0.04224128177479251,0.3064806461942415,0,0.29789160379684737,0.0016994911988095715,0.141,낮음,특징 약함
47190551,도량동,제과점/아이스크림,2512355000,209362916.66666666,188128,175466,22003.817626291817,898.4740449964456,22.037525222568345,18706.550611666666,0.584915852948206,1.0,0,카페,1.0,2512355000.0,18706.550611666666,0.02185289607859142,0.5477461756163681,0,0.09082977369851308,0.05295806844388652,0.1912,낮음,특징 약함
47190551,도량동,커피전문점,888874000,74072833.33333333,174587,154266,22003.817626291817,898.4740449964456,22.037525222568345,18706.550611666666,0.5976186898895515,16.0,0,카페,16.0,55554625.0,1169.1594132291666,0.007726720998303386,0.5477461756163681,0,0.12094927136344599,0.0011353952980085904,0.1801,낮음,특징 약함
47190555,지산동,제과점/아이스크림,261054000,23732181.818181816,19331,16802,2593.162101781733,230.64537558835949,14.563848221872645,2206.372363666667,0.6939607153056752,0.0,0,카페,0.5,522108000.0,4412.744727333334,0.0022639559650775984,0.0388894694157714,0,0.34938433850274747,0.010976668241371446,0.0493,낮음,특징 약함
47190555,지산동,커피전문점,618479000,51539916.666666664,41943,35404,2593.162101781733,230.64537558835949,14.563848221872645,2206.372363666667,0.6758105832502949,0.0,0,카페,0.5,1236958000.0,4412.744727333334,0.005373969650530001,0.0388894694157714,0,0.30634884473198754,0.026055401652233467,0.0486,낮음,특징 약함
47190565,선주원남동,제과점/아이스크림,5081494000,423457833.3333333,385134,343550,33890.66403462098,2212.843907080398,26.967152817023173,28811.109501666666,0.6141183103986466,6.0,0,카페,6.0,846915666.6666666,4801.851583611111,0.04420739688247895,0.8593653882753945,0,0.16007126306424901,0.017828019175792374,0.2964,낮음,수요인구 높음
47190565,선주원남동,커피전문점,11755843000,979653583.3333334,1071599,892335,33890.66403462098,2212.843907080398,26.967152817023173,28811.109501666666,0.692188562472745,58.0,0,카페,58.0,202686948.27586207,496.7432672701149,0.10228200479039126,0.8593653882753945,0,0.34518241468369765,0.004238940207846309,0.339,낮음,수요인구 높음
47190582,형곡1동,제과점/아이스크림,2161547000,180128916.66666666,190054,168772,12809.169168272101,1058.893940295388,20.34408866217704,10890.845406666665,0.6021692484557265,3.0,0,카페,3.0,720515666.6666666,3630.281802222222,0.018800457997969793,0.30671399114689274,0,0.1317390294892031,0.015161792830219234,0.1159,낮음,특징 약함
47190582,형곡1동,커피전문점,2080478000,173373166.66666666,280913,243886,12809.169168272101,1058.893940295388,20.34408866217704,10890.845406666665,0.6548049280692921,26.0,0,카페,26.0,80018384.61538461,418.8786694871794,0.018095063301275548,0.30671399114689274,0,0.25654266481359944,0.0016514231492610167,0.1261,낮음,특징 약함
47190583,형곡2동,제과점/아이스크림,1825174000,152097833.33333334,118646,106687,11834.741563517076,766.0491613988289,17.528577150433232,10062.159615916667,0.6028979783220969,0.0,0,카페,0.5,3650348000.0,20124.319231833335,0.015873621225453372,0.2811577628675168,0,0.13346690945883966,0.07696239532424898,0.1164,낮음,특징 약함
47190583,형곡2동,커피전문점,1794059000,149504916.66666666,197631,175806,11834.741563517076,766.0491613988289,17.528577150433232,10062.159615916667,0.6167563032124235,0.0,0,카페,0.5,3588118000.0,20124.319231833335,0.015602884495166317,0.2811577628675168,0,0.16632616649735932,0.07564974290743715,0.1193,낮음,특징 약함
47190590,신평1동,제과점/아이스크림,769895000,64157916.666666664,56851,51665,6261.781080676184,921.1214412281207,16.589928100976724,5325.002407833334,0.5937040957947264,2.0,0,카페,2.0,384947500.0,2662.501203916667,0.00669146515922822,0.13506635843363549,0,0.1116674386324847,0.008083464612637389,0.0559,낮음,특징 약함
47190590,신평1동,커피전문점,1708113000,142342750.0,211237,175110,6261.781080676184,921.1214412281207,16.589928100976724,5325.002407833334,0.6730079206271248,17.0,0,카페,17.0,100477235.29411764,313.23543575490197,0.01485505421969624,0.13506635843363549,0,0.29970349529359464,0.0020829732021074164,0.0775,낮음,특징 약함
47190600,신평2동,제과점/아이스크림,864000,86400.0,280,207,1110.7997359540436,89.54935838302846,7.7557605977795205,945.3431396999999,0.6478387314084769,0.0,0,카페,0.5,1728000.0,1890.6862793999999,0.0,0.0,0,0.24002522504579715,0.0,0.024,낮음,특징 약함
47190600,신평2동,커피전문점,72245000,6020416.666666667,4964,4439,1110.7997359540436,89.54935838302846,7.7557605977795205,945.3431396999999,0.6480212777508192,0.0,0,카페,0.5,144490000.0,1890.6862793999999,0.0006210978159929438,0.0,0,0.24045805781829574,0.0030113592210974103,0.0248,낮음,특징 약함
47190610,비산동,제과점/아이스크림,704671000,58722583.333333336,60193,54287,10133.326602468627,2811.4538557374653,16.799946005870495,8615.847604,0.5907723477494544,0.0,0,카페,0.5,1409342000.0,17231.695208,0.006123940412442327,0.23655427098636211,0,0.10471601677203943,0.029691594392386,0.0886,낮음,특징 약함
47190610,비산동,커피전문점,1191154000,99262833.33333333,188042,167330,10133.326602468627,2811.4538557374653,16.799946005870495,8615.847604,0.6143836621117629,9.0,0,카페,9.0,132350444.44444445,957.3164004444445,0.01035690897295136,0.23655427098636211,0,0.16070043435413447,0.002755292742887197,0.0921,낮음,특징 약함
47190630,광평동,제과점/아이스크림,3190000,3190000.0,206,200,4049.982184560777,551.2558588593807,17.020148266302538,3445.0378790833333,0.6560539523212046,1.0,0,카페,1.0,3190000.0,3445.0378790833333,2.0238908392983947e-05,0.07708925397480117,0,0.2595042066496971,3.083878890211971e-05,0.0491,낮음,특징 약함
47190630,광평동,커피전문점,363784000,30315333.333333332,67546,52224,4049.982184560777,551.2558588593807,17.020148266302538,3445.0378790833333,0.6946939349490703,7.0,0,카페,7.0,51969142.85714286,492.1482684404762,0.003157826583827057,0.07708925397480117,0,0.35112286411234905,0.0010597647050428645,0.0598,낮음,특징 약함
47190645,상모사곡동,제과점/아이스크림,2556152000,213012666.66666666,175458,162934,23569.187453099894,1613.3947714204053,19.65699880713379,20036.757883333335,0.6206280710403675,5.0,0,카페,5.0,511230400.0,4007.351576666667,0.02223398097579156,0.5887690591665157,0,0.17550645453784897,0.01074722090199956,0.2058,낮음,특징 약함
47190645,상모사곡동,커피전문점,4635733000,386311083.3333333,631854,550048,23569.187453099894,1613.3947714204053,19.65699880713379,20036.757883333335,0.662150314832478,33.0,0,카페,33.0,140476757.57575756,607.1744813131314,0.040328757138641924,0.5887690591665157,0,0.27395919629261983,0.0029267056397470383,0.2226,낮음,특징 약함
47190660,임오동,제과점/아이스크림,841663000,70138583.33333333,68396,62853,12219.394858355992,1073.0871066694474,21.152805706323424,10389.65855,0.6983207678288231,1.0,0,카페,1.0,841663000.0,10389.65855,0.007315930325843728,0.29125765550971,0,0.3597223907344115,0.017717221721273543,0.1293,낮음,특징 약함
47190660,임오동,커피전문점,1266724000,105560333.33333333,144295,117165,12219.394858355992,1073.0871066694474,21.152805706323424,10389.65855,0.726770132544102,12.0,0,카페,12.0,105560333.33333333,865.8048791666666,0.011014455966613353,0.29125765550971,0,0.4271782337139963,0.0021901938501239357,0.1354,낮음,특징 약함
47190670,인동동,제과점/아이스크림,4087959000,340663250.0,352081,314092,39026.58069068708,2789.2426524198695,22.647642299094603,33175.99073333333,0.6113597896607765,5.0,0,카페,5.0,817591800.0,6635.198146666667,0.0355624855109298,0.9939759999378428,0,0.15353057775855014,0.017209474350944744,0.3321,낮음,수요인구 높음
47190670,인동동,커피전문점,5943808000,495317333.3333333,924543,768217,39026.58069068708,2789.2426524198695,22.647642299094603,33175.99073333333,0.6721236672038571,56.0,0,카페,56.0,106139428.57142857,592.4284059523809,0.05171053276037558,0.9939759999378428,0,0.2976068558546805,0.002202409031930941,0.3516,검토 가능,수요인구 높음
47190680,진미동,제과점/아이스크림,2236128000,186344000.0,172183,152390,27925.653157349472,7505.588601393967,27.553779947468282,23740.938250833333,0.6337320248239594,1.0,0,카페,1.0,2236128000.0,23740.938250833333,0.01944939954004079,0.7030040081863806,0,0.2065770340634081,0.047131456855606206,0.2474,낮음,수요인구 높음
47190680,진미동,커피전문점,3528028000,294002333.3333333,439890,362434,27925.653157349472,7505.588601393967,27.553779947468282,23740.938250833333,0.6806388557326327,34.0,0,카페,34.0,103765529.41176471,698.2628897303921,0.03069043382761429,0.7030040081863806,0,0.31779708597360357,0.002152335040781972,0.2568,낮음,수요인구 높음
47190690,양포동,제과점/아이스크림,3517645000,293137083.3333333,348124,306970,39256.29098611168,4171.069183969843,23.183399512960666,33371.32484916667,0.5851765735675104,4.0,0,카페,4.0,879411250.0,8342.831212291667,0.030600089637655408,1.0,0,0.09144796427441339,0.018513466805524185,0.3257,낮음,수요인구 높음
47190690,양포동,커피전문점,5648236000,470686333.3333333,772415,664780,39256.29098611168,4171.069183969843,23.183399512960666,33371.32484916667,0.6357383189440785,46.0,0,카페,46.0,122787739.13043478,725.4635836775362,0.04913871219651872,1.0,0,0.2113341266203795,0.0025535812172292473,0.3436,낮음,수요인구 높음
47190700,공단동,제과점/아이스크림,349488000,29124000.0,26757,23151,11808.470192384542,6730.066450676935,25.58413211971364,10041.037283083333,0.68657764441181,0.0,0,카페,0.5,698976000.0,20082.074566166666,0.0030334347375733602,0.2805063613764968,0,0.331878454771845,0.014707444517390672,0.1209,낮음,특징 약함
47190700,공단동,커피전문점,940419000,78368250.0,156805,127992,11808.470192384542,6730.066450676935,25.58413211971364,10041.037283083333,0.730514044719539,15.0,0,카페,15.0,62694600.0,669.4024855388889,0.008175222517270006,0.2805063613764968,0,0.43605536521985366,0.0012860028094938245,0.1316,낮음,특징 약함
