dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
4719067000,인동동,일식,1567263000,130605250.0,24581,21406,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.7080388458561512,17.0,0,음식점,17.0,92191941.1764706,494943.09434558824,0.013605154439429269,0.9844604321591927,0,0.356404005827091,0.007359828907335686,0.3382,낮음,수요인구 높음,2
4719068000,진미동,일식,2434304000,202858666.66666666,31971,26155,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.7187561260387351,0.0,0,음식점,0.5,4868608000.0,12223269.2355,0.021149606892139645,0.70715576816742,0,0.38290085380110056,0.4219464570165973,0.3232,낮음,수요인구 높음,3
4719056500,선주원남동,일식,4509375000,375781250.0,93897,80700,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.6882889434195013,6.0,0,음식점,6.0,751562500.0,1238437.9199375,0.03920558636196653,0.8660174791601268,0,0.30757537081427894,0.06459232567699502,0.3179,낮음,수요인구 높음,4
4719064500,상모사곡동,일식,6473367000,539447250.0,108601,99327,17120003.1825,1163679.91125,0.0,0.0,5136000.95475,0.7315308556273078,14.0,0,음식점,14.0,462383357.14285713,366857.2110535714,0.056295025340634845,0.589648818140671,0,0.4144844330349025,0.03949195663875023,0.2496,낮음,특징 약함,5
4719051000,송정동,일식,4756757000,396396416.6666667,60540,53743,13646748.815,1640398.53,0.0,0.0,4094024.6445,0.6811629994812541,12.0,0,음식점,12.0,396396416.6666667,341168.720375,0.04135815093118113,0.4641514487273293,0,0.2899575564074218,0.03376437704468767,0.1919,낮음,특징 약함,6
4719055100,도량동,일식,832546000,69378833.33333333,15763,14539,15967336.22625,652945.6175,0.0,0.0,4790200.8678749995,0.6028113533813744,4.0,0,음식점,4.0,208136500.0,1197550.2169687499,0.007212103277260457,0.5480000773595055,0,0.09624500808796733,0.017423664029375452,0.1799,낮음,특징 약함,7
4719070000,공단동,일식,67918000,11319666.666666666,333,154,8580165.98625,4902404.055,0.0,0.0,2574049.795875,0.8011689798340037,1.0,0,음식점,1.0,67918000.0,2574049.795875,0.0005587851642634604,0.2810831359447547,0,0.5866541215066607,0.005252882757892778,0.144,낮음,특징 약함,8
4719053500,원평동,일식,2041931000,170160916.66666666,48476,43047,9524557.565,1306319.32875,0.0,0.0,2857367.2695,0.7002396173221176,16.0,0,음식점,16.0,127620687.5,178585.45434375,0.0177354206630832,0.315206366289829,0,0.3371215974865243,0.010434997463742454,0.1378,낮음,특징 약함,9
4719066000,임오동,일식,18906000,1575500.0,745,710,8854230.1425,795952.6975,0.0,0.0,2656269.04275,0.7272826605208124,1.0,0,음식점,1.0,18906000.0,2656269.04275,0.00013231317088339994,0.29098575954229405,0,0.4039814156664042,0.0009987056580242953,0.1279,낮음,특징 약함,10
4719069000,양포동,중식,2735855000,227987916.66666666,128118,105945,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.6956759862168574,14.0,0,음식점,14.0,195418214.2857143,610218.1518214286,0.023773516466850952,1.0,0,0.32583871250587004,0.016319733566727557,0.3457,낮음,수요인구 높음,1
4719067000,인동동,중식,2255888000,187990666.66666666,88457,74228,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.6949324761198725,27.0,0,음식점,27.0,83551407.4074074,311630.83718055557,0.01959714163524548,0.9844604321591927,0,0.3240004966832619,0.006609841947183296,0.3375,낮음,수요인구 높음,2
4719056500,선주원남동,중식,3641327000,303443916.6666667,155229,134097,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.6947524737083118,8.0,0,음식점,8.0,455165875.0,928828.439953125,0.03165237162048333,0.8660174791601268,0,0.32355546805166663,0.038865488687006726,0.3122,낮음,수요인구 높음,3
4719068000,진미동,중식,3909363000,325780250.0,140656,121063,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.7050189982716951,2.0,0,음식점,2.0,1954681500.0,3055817.308875,0.0339846544740216,0.70715576816742,0,0.34893789119848934,0.16902147156405672,0.2877,낮음,수요인구 높음,4
4719064500,상모사곡동,중식,2919208000,243267333.33333334,104750,90940,17120003.1825,1163679.91125,0.0,0.0,5136000.95475,0.688520073408661,20.0,0,음식점,20.0,145960400.0,256800.0477375,0.025368940432455585,0.589648818140671,0,0.3081468046184403,0.012026860373553761,0.2209,낮음,특징 약함,5
4719055100,도량동,중식,1451006000,120917166.66666667,66530,59965,15967336.22625,652945.6175,0.0,0.0,4790200.8678749995,0.6344856732618668,12.0,0,음식점,12.0,120917166.66666667,399183.40565624996,0.012593558207192558,0.5480000773595055,0,0.17455495466540316,0.009853140677288975,0.189,낮음,특징 약함,6
4719051000,송정동,중식,3020545000,251712083.33333334,101172,89011,13646748.815,1640398.53,0.0,0.0,4094024.6445,0.6644978440416162,8.0,0,음식점,8.0,377568125.0,511753.0805625,0.026250712088236927,0.4641514487273293,0,0.24875548996663718,0.03213010610618326,0.1808,낮음,특징 약함,7
4719070000,공단동,중식,782462000,65205166.666666664,31814,23621,8580165.98625,4902404.055,0.0,0.0,2574049.795875,0.7872496447226532,5.0,0,음식점,5.0,156492400.0,514809.95917499997,0.006776303405464837,0.2810831359447547,0,0.5522406789110202,0.012941024113368803,0.1445,낮음,특징 약함,8
4719053500,원평동,중식,2763699000,230308250.0,137116,115596,9524557.565,1306319.32875,0.0,0.0,2857367.2695,0.6932283874438318,13.0,0,음식점,13.0,212592230.76923078,219797.48226923076,0.02401579766704018,0.315206366289829,0,0.31978739617510693,0.017810415596372125,0.14,낮음,특징 약함,9
4719066000,임오동,중식,972560000,81046666.66666667,45639,39835,8854230.1425,795952.6975,0.0,0.0,2656269.04275,0.7420247233471922,5.0,0,음식점,5.0,194512000.0,531253.80855,0.008430418173227074,0.29098575954229405,0,0.4404289276171188,0.01624107535931183,0.1376,낮음,특징 약함,10
4719067000,인동동,패스트푸드,3672334000,306027833.3333333,357139,301283,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.6994174553506364,99.0,0,음식점,99.0,37094282.828282826,84990.2283219697,0.031922175282825926,0.9844604321591927,0,0.3350889268464723,0.002577424671613048,0.3436,낮음,수요인구 높음,1
4719069000,양포동,패스트푸드,1462849000,121904083.33333333,114804,100489,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.6356389425053648,53.0,0,음식점,53.0,27600924.528301887,161189.70048113205,0.012696608640098786,1.0,0,0.17740623776125114,0.0017534136644999881,0.3237,낮음,수요인구 높음,2
4719056500,선주원남동,패스트푸드,807773000,67314416.66666667,65060,56401,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.633948509473337,24.0,0,음식점,24.0,33657208.333333336,309609.479984375,0.006996544012345656,0.8660174791601268,0,0.17322689875948916,0.0022790911286652772,0.2806,낮음,수요인구 높음,3
4719068000,진미동,패스트푸드,647394000,53949500.0,41563,36167,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.6737195797892203,1.0,0,음식점,1.0,647394000.0,6111634.61775,0.005601025530620758,0.70715576816742,0,0.27155483140382675,0.055550636963462616,0.2502,낮음,수요인구 높음,4
4719064500,상모사곡동,패스트푸드,1045926000,87160500.0,75326,62465,17120003.1825,1163679.91125,0.0,0.0,5136000.95475,0.6852166541965917,43.0,0,음식점,43.0,24323860.465116277,119441.88266860464,0.009068803553671076,0.589648818140671,0,0.299979602197171,0.0014689688164544854,0.2112,낮음,특징 약함,5
4719055100,도량동,패스트푸드,3039496000,253291333.33333334,296415,258222,15967336.22625,652945.6175,0.0,0.0,4790200.8678749995,0.6293698791551687,26.0,0,음식점,26.0,116903692.3076923,184238.49491826922,0.026415611923920952,0.5480000773595055,0,0.16190693050235183,0.009504776384690057,0.1939,낮음,특징 약함,6
4719051000,송정동,패스트푸드,2186564000,182213666.66666666,174118,147806,13646748.815,1640398.53,0.0,0.0,4094024.6445,0.6422994590472145,32.0,0,음식점,32.0,68330125.0,127938.270140625,0.018993927229200444,0.4641514487273293,0,0.1938733535995178,0.005288654665533423,0.168,낮음,특징 약함,7
4719053500,원평동,패스트푸드,895155000,74596250.0,96180,82220,9524557.565,1306319.32875,0.0,0.0,2857367.2695,0.6985904167264946,23.0,0,음식점,23.0,38919782.60869565,124233.35954347826,0.007756887922521458,0.315206366289829,0,0.33304419942317226,0.0027358756501825246,0.1318,낮음,특징 약함,8
4719025600,산동읍,패스트푸드,1275642000,106303500.0,109703,92107,8587962.97,1397434.31375,0.0,0.0,2576388.891,0.6669086485096706,27.0,0,음식점,27.0,47246000.0,95421.81077777778,0.011067649559369558,0.28136486047352505,0,0.25471583796508807,0.0034585803623879774,0.1154,낮음,특징 약함,9
4719058200,형곡1동,패스트푸드,1492798000,124399833.33333333,158634,137292,9368173.46625,789045.41125,0.0,0.0,2810452.039875,0.6235633843738485,23.0,0,음식점,23.0,64904260.86956522,122193.56695108695,0.012957206243333493,0.30955581757250955,0,0.147551253795071,0.004991294167472612,0.1142,낮음,특징 약함,10
4719056500,선주원남동,한식,114928011000,9577334250.0,3130793,2745758,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.6722220994286561,108.0,0,음식점,108.0,1064148250.0,68802.10666319444,1.0,0.8660174791601268,0,0.267852538584944,0.09172435741198266,0.7503,매우 추천,소비 규모 높음 + 수요인구 높음,1
4719067000,인동동,한식,60486660000,5040555000.0,1816700,1569393,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.6933545280251434,285.0,0,음식점,285.0,212233894.7368421,29522.921417105263,0.5262851651988586,0.9844604321591927,0,0.32009925960961894,0.01777931250033349,0.5668,추천,수요인구 높음,2
4719069000,양포동,한식,57283235000,4773602916.666667,1849850,1549281,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.6824786875501488,120.0,0,음식점,120.0,477360291.6666667,71192.1177125,0.49841094979460004,1.0,0,0.29321039538790994,0.04079193484566731,0.5597,추천,수요인구 높음,3
4719068000,진미동,한식,48701559000,4058463250.0,1372102,1133513,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.7099001553360148,18.0,0,음식점,18.0,2705642166.6666665,339535.2565416667,0.42373853344224094,0.70715576816742,0,0.3610058109007957,0.23420386916128397,0.4741,검토 가능,수요인구 높음,4
