addr,lon,lat
"경상북도 구미시 산동읍 신당리 1416 1층 108,109호 ",128.429954562238,36.1543718615081
경상북도 구미시 도량동 317 1층 ,128.316097608391,36.1385514010317
경상북도 구미시 도량동 317 2층 ,128.316097608391,36.1385514010317
경상북도 구미시 봉곡동 378-7 봉곡프라자 1층 ,128.310626162517,36.1474659175321
경상북도 구미시 공단동 759 강변파라디아 1층 B동 106호,128.372831373059,36.1213355550325
경상북도 구미시 고아읍 원호리 533 구미고아세영리첼레이크뷰 1층 상가동 104호,128.338323272591,36.1588034865719
경상북도 구미시 원평동 77-29 1층 ,128.327472551233,36.1286087473449
경상북도 구미시 고아읍 문성리 1404-1 2층 1동 ,128.34498424419,36.1604633453894
경상북도 구미시 산동읍 인덕리 649-4 1층 1동 ,128.444647147501,36.1644661097481
경상북도 구미시 구평동 474-4 8단지부영아파트 3층 상가동 301호,128.439643949894,36.0905434869862
경상북도 구미시 진평동 29-7 1층 ,128.427276408057,36.0952863336192
경상북도 구미시 상모동 48-3 B동 1층 ,128.355454791363,36.0892276768277
경상북도 구미시 산동읍 인덕리 261 1층 1동 ,128.463569750008,36.1773560052689
경상북도 구미시 원평동 385-6 2층 ,128.331902805757,36.1271832504468
경상북도 구미시 옥계동 834-4 4공단메디파크 1층 105호,128.42206536295,36.1377449704162
경상북도 구미시 봉곡동 196-2 1층 ,128.306912581503,36.1535441392137
경상북도 구미시 봉곡동 36 금오G7스퀘어 1층 7호,128.31518104847,36.1382303917462
경상북도 구미시 상모동 54-3 1층 ,128.355508807436,36.0879897069219
경상북도 구미시 신평동 70-219 1층 ,128.364762110266,36.1240353906768
경상북도 구미시 도량동 524-1 1층 ,128.331670479083,36.1364756767889
경상북도 구미시 인의동 375-2 1층 ,128.420396498763,36.1062530652851
경상북도 구미시 봉곡동 527 영남네오빌시티 1층 104동 109호,128.310828267072,36.1550895909708
경상북도 구미시 송정동 10-10 1층 ,128.340179773255,36.1211030286822
경상북도 구미시 옥계동 950 어린왕자 하나 1층 101호,128.415595439105,36.1366251987935
경상북도 구미시 원평동 302 1층 ,128.336024940238,36.1287299217043
경상북도 구미시 선산읍 동부리 390-5 1층 ,128.301950984659,36.2411782295711
경상북도 구미시 옥계동 560-4 옥계시장형 종합상가 1층 A동 103호,128.417250614925,36.1467117695808
경상북도 구미시 원평동 517-15 2층 ,128.338333495262,36.1257704887596
경상북도 구미시 상모동 42-7 1층 ,128.355515872371,36.0907091847612
경상북도 구미시 봉곡동 384-4 1층 ,128.314819261705,36.1501552647426
경상북도 구미시 산동읍 신당리 1616 1층 1동 ,128.43835766322,36.1574241458958
경상북도 구미시 인의동 992-10 1층 ,128.433510442272,36.0964541153974
경상북도 구미시 옥계동 540 대백타운 1층 상가동 9호,128.411474689972,36.1469653569286
경상북도 구미시 원평동 964-195 1층 ,128.33727381348,36.1277865488683
경상북도 구미시 원평동 158-55 1층 ,128.331667435909,36.1308260206974
경상북도 구미시 사곡동 0 1층 상가1동 110호,,
경상북도 구미시 진평동 9-9 1층 2동 ,128.425247460958,36.0988798758672
"경상북도 구미시 산동읍 신당리 1404 1층 101,102,103,104,105호 1동 ",128.429947812066,36.1558113080654
"경상북도 구미시 원평동 371-4 1,2층 ",128.333802602194,36.1281622829812
경상북도 구미시 형곡동 145-33 1층 ,128.338877146514,36.1127762807516
경상북도 구미시 신평동 188-2 구미경찰서 본관 1층 ,128.36448325241,36.1180183425837
경상북도 구미시 신평동 129-2 1층 나호,128.363208773525,36.1230480427641
경상북도 구미시 원평동 1074-2 1층 102호,128.351441620465,36.1216868567461
경상북도 구미시 산동읍 신당리 1433 1층 1동 110호,128.431724922912,36.1552859812581
경상북도 구미시 봉곡동 167-5 1층 ,128.311638964288,36.1543744006628
경상북도 구미시 봉곡동 302-4 1층 ,128.311880676057,36.1494402724555
경상북도 구미시 진평동 1052-5 1층 ,128.426310698617,36.0920945751721
경상북도 구미시 남통동 산 28-7 구미성리학역사관 1층 6동 ,128.313673959394,36.1144966184386
경상북도 구미시 상모동 37-8 1층 ,128.355334129575,36.0857242273698
경상북도 구미시 비산동 444-2 1층 ,128.374931290941,36.1222161177488
"경상북도 구미시 옥계동 831-2 1층 103,104호 1동 ",128.418219046886,36.1384136244253
경상북도 구미시 형곡동 855 차병원 1층 ,128.340528875643,36.1144660099973
경상북도 구미시 옥계동 1159 1층 ,128.422005145377,36.1438812812776
경상북도 구미시 원평동 78-1 1층 ,128.325796186247,36.1290156175324
경상북도 구미시 원평동 409-4 1층 ,128.328828419407,36.1248933596411
경상북도 구미시 원평동 398-3 1층 ,128.329969966606,36.1272779920533
경상북도 구미시 인의동 565-14 1층 ,128.423828274651,36.1053273233096
"경상북도 구미시 원평동 343-1 1,2층 ",128.336548102722,36.1279552326825
경상북도 구미시 구평동 446-2 1층 ,128.432769314799,36.0937279537001
경상북도 구미시 옥계동 909 1층 상가동 108호,128.425410220719,36.1396043284681
경상북도 구미시 형곡동 191 1층 ,128.337386527262,36.1076811169414
경상북도 구미시 옥계동 732-3 1층 ,128.422897247568,36.1380047061193
경상북도 구미시 고아읍 원호리 533 구미고아세영리첼레이크뷰 1층 301동 108호,128.338323272591,36.1588034865719
경상북도 구미시 옥계동 834-2 1층 103호,128.421816704789,36.1380386268417
경상북도 구미시 선산읍 동부리 411-7 2층 ,128.301471191754,36.2427138342067
경상북도 구미시 봉곡동 308-5 1층 ,128.306320188098,36.1509096357453
경상북도 구미시 고아읍 원호리 439-5 1층 104호,128.329895017292,36.1511653857478
경상북도 구미시 형곡동 287-9 두산빌라 1층 102호,128.332667849159,36.1077601072283
경상북도 구미시 황상동 633-32 1층 ,128.420964644364,36.1072099081106
경상북도 구미시 원평동 415-27 1층 ,128.329924510789,36.1254001604405
"경상북도 구미시 고아읍 문성리 1845 지하2층, 101,102,103호 B동 ",128.345920715772,36.1589952378646
경상북도 구미시 상모동 64-1 1층 ,128.357712856851,36.0896624142364
경상북도 구미시 신평동 150-17 신평상가 1층 105호,128.362453539601,36.1225565953496
경상북도 구미시 원평동 156-22 1층 ,128.332799905341,36.1302723792591
경상북도 구미시 구평동 446-3 금강빌딩 1층 ,128.432662484636,36.0934944861381
경상북도 구미시 신평동 339-1 2층 ,128.364092450956,36.1172372723344
경상북도 구미시 인의동 364-4 1층 106호,128.42288453954,36.1093193770759
경상북도 구미시 산동읍 신당리 1391 1동 1동 106호,128.433303843422,36.1569495780439
경상북도 구미시 공단동 264-19 1층 ,128.384499478119,36.101754825507
경상북도 구미시 고아읍 문성리 1782 1층 1동 ,128.350760266751,36.1544293909685
경상북도 구미시 양호동 614-8 3층 ,128.367049500221,36.1378518225275
경상북도 구미시 구평동 463-1 1층 ,128.440699381961,36.0924849954498
경상북도 구미시 황상동 285-4 1층 ,128.421480416602,36.1075952407055
경상북도 구미시 원평동 77-10 1층 ,128.328188576082,36.1288920572995
경상북도 구미시 광평동 293-2 구미복합스포츠센터 1층 ,128.355491999487,36.1103711766768
경상북도 구미시 사곡동 801 1층 ,128.354711258996,36.1038581881638
경상북도 구미시 고아읍 오로리 459-15 1층 1동 ,128.311587154909,36.2238571097541
경상북도 구미시 고아읍 문성리 1898 1층 1동 ,128.347100108231,36.1578154562358
"경상북도 구미시 고아읍 문성리 1121 1,2층 1동 ",,
경상북도 구미시 구평동 551-13 1층 ,128.434435780917,36.0969966953706
경상북도 구미시 봉곡동 225-8 1층 ,128.314480621727,36.1517746336226
경상북도 구미시 진평동 98-6 1층 ,128.431357890375,36.0918052256506
경상북도 구미시 상모동 67-2 1층 ,128.358288818639,36.088750418678
"경상북도 구미시 광평동 792-137 1동 1,2층 ",128.363466001585,36.1036217136007
경상북도 구미시 사곡동 687-31 1층 ,128.3594262269,36.0949689137064
경상북도 구미시 산동읍 신당리 1431 1층 1동 110호,128.43171803195,36.1558542223927
경상북도 구미시 진평동 618 1층 ,128.420106563163,36.1044647808346
경상북도 구미시 산동읍 봉산리 385-9 1층 1동 ,128.442732147278,36.1405819551309
경상북도 구미시 원평동 122-6 1층 ,128.330578680758,36.1298180319794
경상북도 구미시 임은동 822 구미 임은 삼도뷰엔빌W 1층 301동 111호,128.362890603821,36.0850944065169
경상북도 구미시 봉곡동 232-8 1층 ,128.311787965999,36.1514389323312
경상북도 구미시 옥계동 632-1 1층 ,128.416377080453,36.1386463790932
경상북도 구미시 비산동 504-32 1층 ,128.374270134622,36.1208108149882
경상북도 구미시 송정동 466-1 1층 ,128.340096016355,36.114959451845
경상북도 구미시 인의동 1001-5 1층 ,128.431254156926,36.0958746291829
경상북도 구미시 봉곡동 167-4 1층 ,128.311470463465,36.1543115447089
경상북도 구미시 진평동 120-2 1층 101호,128.423637920343,36.0950797397997
경상북도 구미시 고아읍 문성리 1284 1층 1동 ,128.348244521345,36.1615059618163
경상북도 구미시 임은동 222-1 1층 ,128.36471432659,36.0873107337921
경상북도 구미시 옥계동 833-3 1층 ,128.420830865763,36.138149451874
경상북도 구미시 산동읍 봉산리 380-2 1층 ,128.439423753601,36.1404569539044
경상북도 구미시 봉곡동 433-4 1층 1동 ,128.310270924499,36.1441312636846
경상북도 구미시 오태동 745-9 2층 ,128.35074763518,36.0711205245621
경상북도 구미시 봉곡동 254-2 1층 ,128.306986900377,36.151400599933
경상북도 구미시 형곡동 279-6 1층 ,128.335286646671,36.1069915581058
경상북도 구미시 도량동 365-1 1층 ,128.323498800968,36.1347640773934
경상북도 구미시 고아읍 봉한리 911-152 1층 ,128.350168404072,36.1818497585212
경상북도 구미시 봉곡동 428-3 1층 ,128.310448620981,36.1457701141419
경상북도 구미시 옥계동 624-3 1층 ,128.416737202297,36.13975600366
경상북도 구미시 고아읍 문성리 1558 2층 1동 ,128.347035870117,36.1554051053185
경상북도 구미시 산동읍 신당리 1388 골드클래스 상가2동 B8호,128.430232599003,36.1569303466264
"경상북도 구미시 황상동 293-2 1,2층 ",128.420375641991,36.1071299341408
경상북도 구미시 도개면 도개리 342 1층 ,128.36089469487,36.2892509455468
경상북도 구미시 고아읍 문성리 1717 1층 ,128.347712281921,36.1544981616432
"경상북도 구미시 원평동 373-2 2,3층 ",128.333946926409,36.1283741555115
경상북도 구미시 인의동 430-9 1층 ,128.425759358385,36.1082016741694
경상북도 구미시 고아읍 문성리 1710 1층 ,128.346253190459,36.1535290059289
경상북도 구미시 형곡동 141 우방3차아파트 1층 309동 102호,128.333261445917,36.1143511223285
경상북도 구미시 인의동 346-9 1층 ,128.423301545376,36.1097257896033
