dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190510,송정동,일식,7541490000,314228750.0,100843,90231,0.10454038830865778,17391.9126040327,2045.895059510129,22.93009403116039,6094.048439620793,0.6701987974422029,202301,47190510,7,음식점,7,1077355714.2857144,870.5783485172561,0.0357439931783943,0.41014348761824043,0.2921807390649137,0.2665702886330182,0.16161670597345837,0.2098,낮음,특징 약함
47190510,송정동,중식,6157557000,256564875.0,207904,183596,-0.03712673078713119,17391.9126040327,2045.895059510129,22.93009403116039,6094.048439620793,0.661963706320667,202301,47190510,6,음식점,6,1026259500.0,1015.6747399367988,0.02918186488536341,0.41014348761824043,0.2547059631339154,0.24825664860530974,0.1539402759543028,0.1989,낮음,특징 약함
47190510,송정동,패스트푸드,4684919000,195204958.33333334,368893,317955,-0.1247985174244653,17391.9126040327,2045.895059510129,22.93009403116039,6094.048439620793,0.6447262902190758,202301,47190510,7,음식점,7,669274142.8571428,870.5783485172561,0.02219912837630378,0.41014348761824043,0.23151440971859621,0.20992315249294471,0.10030864883126224,0.1811,낮음,특징 약함
47190510,송정동,한식,79894104000,3328921000.0,1902209,1678394,0.01574430139957728,17391.9126040327,2045.895059510129,22.93009403116039,6094.048439620793,0.6609800594726383,202301,47190510,12,음식점,12,6657842000.0,507.8373699683994,0.37881488996613105,0.41014348761824043,0.2686917778881338,0.24606916166395953,1.0,0.45,검토 가능,공급 대비 소비 부족
47190535,원평동,양식,5969341000,248722541.66666666,331402,281416,-0.6043720009389382,11950.43416721288,1856.3257957294948,25.107766211587304,4190.1842883879835,0.6908893357777272,202301,47190535,16,음식점,16,373083812.5,261.88651802424897,0.028289410164794495,0.2734591290964008,0.10465428189315942,0.3125830243106318,0.05581055097564739,0.1336,낮음,특징 약함
47190535,원평동,일식,5046874000,210286416.66666666,143034,124048,-0.4225324378186583,11950.43416721288,1856.3257957294948,25.107766211587304,4190.1842883879835,0.715811222215247,202301,47190535,5,음식점,5,1009374800.0,838.0368576775967,0.023915392925457527,0.2734591290964008,0.15275575333421776,0.36800566023442766,0.15140360626641408,0.1592,낮음,특징 약함
47190535,원평동,중식,5639771000,234990458.33333334,293413,248757,-0.0390716922246731,11950.43416721288,1856.3257957294948,25.107766211587304,4190.1842883879835,0.6962165326206797,202301,47190535,7,음식점,7,805681571.4285715,598.5977554839976,0.026726704006668205,0.2734591290964008,0.2541914683483115,0.32442993212242816,0.12080179287646199,0.1664,낮음,특징 약함
47190535,원평동,패스트푸드,1837434000,76559750.0,199442,170199,-0.050010665630880025,11950.43416721288,1856.3257957294948,25.107766211587304,4190.1842883879835,0.7035284891418052,202301,47190535,1,음식점,1,1837434000.0,4190.1842883879835,0.00869734622176229,0.2734591290964008,0.2512978146908557,0.34069065561047296,0.27580692242941107,0.1845,낮음,특징 약함
47190535,원평동,한식,105203517000,4383479875.0,3881349,3311554,-0.30911746902762766,11950.43416721288,1856.3257957294948,25.107766211587304,4190.1842883879835,0.7014349112634343,202301,47190535,21,음식점,21,5009691285.714286,199.53258516133255,0.4988233117085881,0.2734591290964008,0.18275707311676545,0.3360348441484489,0.7523903914194119,0.4168,검토 가능,공급 대비 소비 부족
47190551,도량동,양식,3650073000,152086375.0,209950,189574,0.010940952792314723,22078.523394744,902.0192339993044,22.023567578655094,7734.0902584339965,0.6266428222691146,202301,47190551,15,음식점,15,243338200.0,515.6060172289331,0.01729224905806377,0.5278872162389607,0.26742116256169435,0.16970816062453334,0.036318243598832796,0.2006,낮음,특징 약함
47190551,도량동,일식,1114603000,46441791.666666664,21422,20031,1.668291382533372,22078.523394744,902.0192339993044,22.023567578655094,7734.0902584339965,0.6003994969009546,202301,47190551,2,음식점,2,557301500.0,3867.0451292169982,0.0052699333656631795,0.5278872162389607,0.7058350753320571,0.1113468374977438,0.08348646016291163,0.2633,낮음,소비 성장률 높음
47190551,도량동,중식,2440490000,101687083.33333333,113244,103020,0.4664269457616293,22078.523394744,902.0192339993044,22.023567578655094,7734.0902584339965,0.6094034812390665,202301,47190551,5,음식점,5,488098000.0,1546.8180516867992,0.011556827742820056,0.5278872162389607,0.3879094991297011,0.1313703837523907,0.07308968552398971,0.2183,낮음,특징 약함
47190551,도량동,패스트푸드,6214559000,258939958.33333334,620264,540425,-0.04269742049212882,22078.523394744,902.0192339993044,22.023567578655094,7734.0902584339965,0.6292545112624544,202301,47190551,8,음식점,8,776819875.0,966.7612823042496,0.029452148516839315,0.5278872162389607,0.2532323653801929,0.1755161755429441,0.11646576141179857,0.2153,낮음,특징 약함
47190551,도량동,한식,43237346000,1801556083.3333333,1010276,926730,-0.004867977969695665,22078.523394744,902.0192339993044,22.023567578655094,7734.0902584339965,0.633054080173554,202301,47190551,26,음식점,26,1662974846.1538463,297.4650099397691,0.20500131026062043,0.5278872162389607,0.26323927376635275,0.18396586192423744,0.24959708468658784,0.299,낮음,특징 약함
47190555,지산동,양식,118700000,4945833.333333333,8735,7036,0.10107089122931233,2674.4172054353226,239.31890800200506,14.210314808442815,940.3091163448956,0.715393843045748,202301,47190555,1,음식점,1,118700000.0,940.3091163448956,0.0005477081904456344,0.04014043202490797,0.2912629634619962,0.36707746991419216,0.017593247365970646,0.0933,낮음,특징 약함
47190555,지산동,일식,100868000,4202833.333333333,2207,1847,0.17786894094785707,2674.4172054353226,239.31890800200506,14.210314808442815,940.3091163448956,0.6900036383175482,202301,47190555,1,음식점,1,100868000.0,940.3091163448956,0.00046315505693315446,0.04014043202490797,0.31157812003120805,0.3106133625036416,0.01491426024304687,0.0902,낮음,특징 약함
47190555,지산동,중식,176010000,7333750.0,7816,7201,-0.6106703923843804,2674.4172054353226,239.31890800200506,14.210314808442815,940.3091163448956,0.6380958571844919,202301,47190555,1,음식점,1,176010000.0,940.3091163448956,0.0008194522506520174,0.04014043202490797,0.10298818739183714,0.19517803771144013,0.026203204298157805,0.0492,낮음,특징 약함
47190555,지산동,한식,7055112000,293963000.0,148007,134420,0.1656740434503137,2674.4172054353226,239.31890800200506,14.210314808442815,940.3091163448956,0.6285029499848305,202301,47190555,10,음식점,10,705511200.0,94.03091163448957,0.03343775809699384,0.04014043202490797,0.30835224056010135,0.17384481301713378,0.10575271620779697,0.1012,낮음,특징 약함
