dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190510,송정동,패스트푸드,2498355000,208196250.0,194775,170149,0.0,0.0,0.0,1017335.6691666666,152600.350375,0.6471531213909371,32.0,0,음식점,32.0,78073593.75,4768.76094921875,0.025993669080628733,0.7859644019370144,0,0.16974080554341942,0.005800635215374753,0.2653,낮음,수요인구 높음
47190510,송정동,한식,39635039000,3302919916.6666665,954536,846551,0.0,0.0,0.0,1017335.6691666666,152600.350375,0.6584698896279616,98.0,0,음식점,98.0,404439173.46938777,1557.1464323979592,0.4129616333581915,0.7859644019370144,0,0.19636949761903774,0.03233255146862818,0.4461,검토 가능,수요인구 높음
47190535,원평동,양식,4277172000,356431000.0,194699,165802,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.7093425664032512,7.0,0,음식점,7.0,611024571.4285715,25001.10275,0.044529120261792926,0.9074091294163101,0,0.316074418364841,0.04912692813822306,0.3312,낮음,수요인구 높음
47190535,원평동,일식,3466927000,288910583.3333333,96044,82340,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.7289331990578334,16.0,0,음식점,16.0,216682937.5,10937.982453125,0.03608628626465754,0.9074091294163101,0,0.3621717593723814,0.017068893048984006,0.3272,낮음,수요인구 높음
47190535,원평동,제과점/아이스크림,8205684000,683807000.0,868984,740553,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.6843169155776087,16.0,0,카페,16.0,512855250.0,10937.982453125,0.08546460850516913,0.9074091294163101,0,0.2571883180338518,0.04114624519665473,0.3426,낮음,수요인구 높음
47190535,원평동,중식,2876072000,239672666.66666666,156297,133161,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.6992046777975275,13.0,0,음식점,13.0,221236307.69230768,13462.132249999999,0.02992951802618963,0.9074091294163101,0,0.2922196651062627,0.017439059647790904,0.3175,낮음,수요인구 높음
47190535,원평동,패스트푸드,942279000,78523250.0,103262,87979,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.708466561557116,23.0,0,음식점,23.0,40968652.17391305,7609.03127173913,0.009779201413532425,0.9074091294163101,0,0.3140131529208631,0.0027841859828145895,0.3084,낮음,수요인구 높음
47190535,원평동,한식,62218111000,5184842583.333333,2252265,1926484,0.0,0.0,0.0,1166718.1283333332,175007.71925,0.6987933098185534,174.0,0,음식점,174.0,357575350.57471263,1005.7914899425288,0.6482795039298782,0.9074091294163101,0,0.29125170402298867,0.0285227531883748,0.5974,추천,소비 규모 높음 + 수요인구 높음
47190551,도량동,양식,1815107000,151258916.66666666,104159,94160,0.0,0.0,0.0,653572.9141666667,98035.937125,0.6309328490187328,1.0,0,음식점,1.0,1815107000.0,98035.937125,0.018874156534578145,0.49023310326556685,0,0.13157402247111274,0.14701290675257064,0.1908,낮음,특징 약함
47190551,도량동,일식,314353000,26196083.333333332,9415,8365,0.0,0.0,0.0,653572.9141666667,98035.937125,0.6075845762193787,4.0,0,음식점,4.0,78588250.0,24508.98428125,0.0032361496446412425,0.49023310326556685,0,0.0766348424994457,0.005842474236928295,0.1571,낮음,특징 약함
