dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
지산동,지산동,7055112000,148007,134420,1753.8536213333334,23.0,1,0.0834,0.6285029499848305,306744000.0,0.1656740434503137,4022634.4514637925,한식
진미동,진미동,96808237000,2733299,2282742,15923.074261666668,18.0,1,0.4113,0.711846984622796,5378235388.888889,0.0123658715324304,6079745.368836023,한식
해평면,해평면,13895345000,394869,335999,1731.500654875,14.0,1,0.1062,0.6662247654752176,992524642.8571428,0.130409891725123,8025030.1730339965,한식
형곡1동,형곡1동,26440910000,944046,863843,7787.470175750001,69.0,1,0.1658,0.6246703848466909,383201594.20289856,0.0064976718522424,3395314.4478596365,한식
형곡2동,형곡2동,46512348000,1234945,1132064,8328.659252291667,15.0,1,0.2229,0.625634399054854,3100823200.0,0.0393381671085521,5584614.112673889,한식
고아읍,고아읍,8208198000,336287,304426,10427.453303875,13.0,1,0.1589,0.601506367572012,631399846.1538461,0.0630045700179377,787171.8780030124,중식
공단동,공단동,1624922000,66406,49884,4909.7810930000005,5.0,1,0.1334,0.7943970331145315,324984400.0,-0.0712176245756475,330956.099512602,중식
광평동,광평동,40900000,3186,2522,2455.81240025,1.0,1,0.1022,0.739913558272006,40900000.0,0.1562631800927878,16654.366594059225,중식
도개면,도개면,1299072000,47592,42242,959.7403305083334,1.0,1,0.0801,0.7118003054154567,1299072000.0,-0.1319014434899151,1353566.1248203847,중식
도량동,도량동,2440490000,113244,103020,15006.15911625,12.0,1,0.2077,0.6094034812390665,203374166.66666663,0.4664269457616293,162632.55514578815,중식
무을면,무을면,654136000,25548,22818,813.46340425,1.0,1,0.0569,0.6352911750679409,654136000.0,-0.1038437010841208,804136.9735656427,중식
비산동,비산동,979056000,42079,36769,5397.620741666667,6.0,1,0.1022,0.6776119355482949,163176000.0,-0.237757706444146,181386.5862123705,중식
산동읍,산동읍,4571320000,193313,158825,7843.762968958334,14.0,1,0.149,0.7076939943158168,326522857.14285713,0.0073411463833722,582796.80532048,중식
상모사곡동,상모사곡동,5971150000,221647,193991,16036.0337275,21.0,1,0.2223,0.6901567562024802,284340476.1904762,-0.0434916522004677,372358.28394150524,중식
선산읍,선산읍,3312411000,150984,141559,5418.59984525,9.0,1,0.1037,0.5856725840957842,368045666.6666667,0.2034249960586735,611303.8597791445,중식
선주원남동,선주원남동,6834276000,292330,256453,23355.1182575,8.0,1,0.3027,0.6856867518085322,854284500.0,0.1404275483260146,292624.33718593215,중식
송정동,송정동,6157557000,207904,183596,11153.684302375,8.0,1,0.1733,0.661963706320667,769694625.0,-0.0371267307871311,552064.8453972151,중식
신평1동,신평1동,1621201000,71539,60345,3603.8130665833337,2.0,1,0.0926,0.6925297406422565,810600500.0,-0.2705381469209581,449857.12911491597,중식
